userId,itemId,rating,timestamp
1,1,,881250949
1,2,3,891717742
1,3,1,878887116
1,4,,880606923
1,5,1,886397596
1,6,,884182806
1,7,,881171488
1,8,5,891628467
1,9,3,886324817
1,10,,883603013
1,11,2,879372434
1,12,,879781125
1,14,3,891035994
2,1,,879539727
2,2,4,880731963
2,3,,884238860
2,4,4,886890835
2,5,1,878962623
2,6,,891295330
2,7,1,874791932
2,8,4,891350932
2,9,,877888877
2,10,4,885329322
2,11,2,884114233
2,12,3,874791805
3,1,4,884920949
3,2,5,879024232
3,3,,892738341
3,4,5,883326620
3,5,,883698581
3,6,4,891550094
3,7,,893277702
3,8,3,879987440
3,9,1,890251826
3,10,3,884923047
3,11,,879546723
3,12,2,887249482
4,1,4,879373848
4,2,,879375537
4,3,4,881961214
4,4,,879857765
4,5,,883709863
4,6,5,891383835
4,7,4,877531942
4,8,3,888905170
4,9,,880234639
4,10,,886397722
4,11,,878090499
4,12,5,885848672
5,1,3,878089182
5,2,3,890687042
5,3,,888082216
5,4,3,878769629
5,5,4,879791710
5,6,,888904884
5,7,,880245029
5,8,3,878092059
5,9,5,888205300
5,10,5,877533771
5,11,,880605185
5,12,4,891352010
6,1,,879456350
6,2,,879467295
6,3,5,878870987
6,4,3,891387947
6,5,,891383204
6,6,2,888067405
6,7,3,881108425
6,8,,879371261
6,9,4,876973939
6,10,4,875537965
6,11,,885412840
6,12,4,875744136
7,1,3,874786392
7,2,,891723086
7,3,4,875801662
7,4,,892428688
7,5,3,876857977
7,6,3,888906966
7,7,2,891385985
7,8,,875216545
7,9,3,886443455
7,10,4,882164999
7,11,,878542420
7,12,4,880036718
8,1,,879455113
8,2,3,879521396
8,3,,879454628
8,4,1,886987605
8,5,4,877877775
8,6,5,879524921
8,7,,891446165
8,8,5,883599249
8,9,3,880937882
8,10,,879467542
8,11,1,877727122
8,12,4,882078621
9,1,,878089716
9,2,3,890881335
9,3,3,889502324
9,4,3,879525876
9,5,,879485532
9,6,5,874775038
9,7,5,879966498
9,8,,875742942
9,9,2,875744173
9,10,4,883601089
9,11,5,879394264
9,12,4,880308578
